"Name of country","Within","Borders"
"Libya","Africa","Algeria / Chad / Egypt / Niger / Sudan / Tunisia","*Atlantic Ocean / Mediterranean Sea"
"Liechtenstein","Europe","Austria / Switzerland",""
"Lithuania","Europe","Belarus / Latvia / Poland / Russia","*Atlantic Ocean / Baltic Sea"
"Luxembourg","Europe","Belgium / France / Germany",""
"Macedonia","Europe","Albania / Bulgaria / Greece / Serbia",""
"Madagascar","Africa","","Indian Ocean / Mozambique Channel"
"Malawi","Africa","Mozambique / Tanzania / Zambia",""
"Malaysia","Southeast Asia","Brunei / Indonesia / Singapore / Thailand","Indian Ocean / *Pacific Ocean / South China Sea"
"Maldives","Asia","","Indian Ocean"
"Mali","Africa","Algeria / Burkina Faso / Ivory Coast / Guinea / Mauritania / Niger / Senegal",""
"Malta","Europe","","*Atlantic Ocean / Mediterranean Sea"
"Marshall Islands","Oceania","","Pacific Ocean"
"Mauritania","Africa","Algeria / Mali / Senegal / Western Sahara","Atlantic Ocean"
"Mauritius","Africa","","Indian Ocean"
"Mexico","North America","Belize / Guatemala / United States","*Atlantic Ocean / Pacific Ocean / Gulf of Mexico / Caribbean Sea"
"Federated States of Micronesia","Oceania","","Pacific Ocean"
"Moldova","Europe","Romania / Ukraine",""
"Monaco","Europe","France","*Atlantic Ocean / Mediterranean Sea"
"Mongolia","Asia","China / Russia",""
"Montenegro","Europe","Albania / Bosnia Herzegovina / Croatia / Serbia","*Atlantic Ocean / Mediterranean Sea"
"Morocco","Africa","Algeria / *Spain / Ceuta / Melilla / Peñón de Vélez de la Gomera / Western Sahara","Atlantic Ocean / Mediterranean Sea"
"Mozambique","Africa","Malawi / South Africa / Swaziland / Tanzania / Zambia / Zimbabwe","Indian Ocean"
"Myanmar (Burma)","Southeast Asia","Bangladesh / China / India / Laos / Thailand","*Indian Ocean / Andaman Sea"
"Namibia","Africa","Angola / Botswana / South Africa / Zambia","Atlantic Ocean"
"Nauru","Oceania","","Pacific Ocean"
"Nepal","Asia","China / India",""
"Netherlands","Europe","Belgium / Germany","*Atlantic Ocean / North Sea"
"New Zealand","Oceania","","Pacific Ocean"
"Nicaragua","Central America","Costa Rica / Honduras","*Atlantic Ocean / Pacific Ocean / Caribbean Sea"
"Niger","Africa","Algeria / Benin / Burkina Faso / Chad / Libya / Mali / Nigeria",""
"Nigeria","Africa","Benin / Cameroon / Chad / Niger","*Atlantic Ocean / Gulf of Guinea"
"Norway","Europe","Finland / Russia / Sweden","Arctic Ocean / Atlantic Ocean"
"Oman","Middle East","Saudi Arabia / United Arab Emirates / Yemen","Indian Ocean"
"Pakistan","Asia","Afghanistan / China / India / Iran","Indian Ocean"
"Palau","Oceania","","Pacific Ocean"
"Panama","Central America","Colombia / Costa Rica","*Atlantic Ocean / Caribbean Sea / Pacific Ocean"
"Papua New Guinea","Oceania","Indonesia","Pacific Ocean"
"Paraguay","South America","Argentina / Bolivia / Brazil",""
"Peru","South America","Bolivia / Brazil / Chile / Colombia / Ecuador","Pacific Ocean"
"Philippines","Southeast Asia","","Pacific Ocean"
"Poland","Europe","Belarus / Czech Republic / Germany / Lithuania / Russia / Slovakia / Ukraine","*Atlantic Ocean / Baltic Sea"
"Portugal","Europe","Spain","Atlantic Ocean"
"Qatar","Middle East","Saudi Arabia","*Indian Ocean / Persian Gulf"
"Romania","Europe","Bulgaria / Hungary / Moldova / Serbia / Ukraine","*Atlantic Ocean / Black Sea"
"Russia","Asia / Europe","Azerbaijan / Belarus / China / Estonia / Finland / Georgia / Kazakhstan / Latvia / Lithuania / Mongolia / North Korea / Norway / Poland / Ukraine","Arctic Ocean / *Atlantic Ocean / Baltic Sea / Black Sea / Caspian Sea / Pacific Ocean"
"Rwanda","Africa","Burundi / Congo, Democratic Republic of the / Tanzania / Uganda",""
"Saint Kitts and Nevis","Caribbean","","*Atlantic Ocean / Caribbean Sea"
"Saint Lucia","Caribbean","","Atlantic Ocean / Caribbean Sea"
"Saint Vincent and the Grenadines","Caribbean","","Atlantic Ocean / Caribbean Sea"
"Samoa","Oceania","","Pacific Ocean"
"San Marino","Europe","Italy",""
"São Tomé and Príncipe","Africa","","Atlantic Ocean / Gulf of Guinea"
"Saudi Arabia","Middle East","Iraq / Jordan / Kuwait / Oman / Qatar / United Arab Emirates / Yemen","Indian Ocean / Red Sea / Persian Gulf"
"Senegal","Africa","The Gambia / Mali / Mauritania / Guinea / Guinea Bissau","Atlantic Ocean"
"Serbia","Europe","Albania / Bosnia / Bulgaria / Croatia / Hungary / Macedonia / Montenegro / Romania",""
"Seychelles","Africa","","Indian Ocean"
"Sierra Leone","Africa","Guinea / Liberia","Atlantic Ocean"
"Singapore","Southeast Asia","Malaysia","*Pacific Ocean / *Indian Ocean / South China Sea"
"Slovakia","Europe","Austria / Czech Republic / Hungary / Poland / Ukraine",""
